Reference, Quantity, Value, Footprint, Datasheet, Part Number, Manufacturer, Package, Supplier, Order Code, Alt. Supplier, Alt. Order Code, Note
A1 ,1,JMP,jakub:JMP,
C14 C20 C28 C34 ,4,10p,Capacitors_SMD:C_0603,,MC0603N100J500CT,Multicomp,0603,Farnell,2320799,Mouser,77-VJ0603A100JXACBC,10pF/50V C0G(NP0) 0603 ceramic capacitor
C16 C17 C22 C23 C27 C29 C33 C35 ,8,470p,Capacitors_SMD:C_0603,,MC0603N471J500CT,Multicomp,0603,Farnell,1759080,Mouser,710-885012206081,470pF/50V C0G(NP0) 0603 ceramic capacitor
C39 C40 C57 ,3,1u/10V,Capacitors_SMD:C_0603,,MC0603X105K100CT,Multicomp,0603,Farnell,1759399,Mouser,710-885012106010,1μF/10V X5R 0603 ceramic capacitor
C10 C11 C12 C15 C18 C2 C21 C24 C26 C30 C32 C36 C4 C65 C66 C67 C8 ,17,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,0603,Farnell,1759122,Mouser,710-885012206095,100nF/50V X7R 0603 ceramic capacitor
C43 C52 C55 C62 ,4,4u7/25V,Capacitors_SMD:C_0805,,GRM21BR61E475MA12L,Murata,0805,Farnell,1735529,Mouser,81-GRM21BR61E475MA2L,4.7μF/25V X5R 0805 ceramic capacitor
C44 C45 C53 C54 C56 C63 C64 ,7,10u/10V,Capacitors_SMD:C_0805,,GRM21BR61A106KE19L,Murata,0805,Farnell,1828805,Mouser,81-GRM21BR61A106KE19,10μF/10V X5R 0805 ceramic capacitor
C13 C19 C25 C31 C46 C47 C48 C49 C5 C50 C51 C58 C59 C6 C60 C61 ,16,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,0603,Farnell,2320786,Mouser,77-VJ0603Y103KXACBC,10nF/100V X7R 0603 ceramic capacitor
C1 C3 C37 C38 C41 C42 C7 C9 ,8,4u7/25V,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,,TR3B475K025C0700,Vishay,case B,Farnell,2353145,Mouser,74-TR3B475K025C0700,4.7μF/25V/0.7Ω ESR case B tantalum capacitor
JP1 ,1,UNI_A,jakub:solder_jumper,
