Reference, Value, Footprint, Datasheet, Part Number, Manufacturer, Order Code
U1,DAC8734,Housings_QFP:TQFP-48_7x7mm_Pitch0.5mm,,DAC8734SPFB,Texas Instruments,2082437
JP6,x2_3,jakub:solder_jumper,
JP5,x2_2,jakub:solder_jumper,
JP4,x2_1,jakub:solder_jumper,
JP3,x2_0,jakub:solder_jumper,
R2,10k,Resistors_SMD:R_0805,,MCMR08X1002FTL,Multicomp,2073607
R1,10k,Resistors_SMD:R_0805,,MCMR08X1002FTL,Multicomp,2073607
JP1,UNI_A,jakub:solder_jumper,
JP2,UNI_B,jakub:solder_jumper,
R5,10k,Resistors_SMD:R_0805,,MCMR08X1002FTL,Multicomp,2073607
R3,10k,Resistors_SMD:R_0805,,MCMR08X1002FTL,Multicomp,2073607
R4,10k,Resistors_SMD:R_0805,,MCMR08X1002FTL,Multicomp,2073607
P3,SMA,jakub:SMA,,73251-2200,Molex,2293854
P4,SMA,jakub:SMA,,73251-2200,Molex,2293854
P5,SMA,jakub:SMA,,73251-2200,Molex,2293854
P6,SMA,jakub:SMA,,73251-2200,Molex,2293854
P1,2x4_MicroMaTch,jakub:7-188275-8,,7-188275-8,TE Connectivity,3784733
C4,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,1759122
C8,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,1759122
C10,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,1759122
C2,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,1759122
C6,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
C5,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
C11,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,1759122
C12,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,1759122
C7,4u7/25V,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,,TR3B475K025C0700,Vishay,2353145
