Reference, Quantity, Value, Footprint, Datasheet, Part Number, Manufacturer, Order Code
A1 ,1,JMP,jakub:JMP,
C14 C20 ,2,(10p),Capacitors_SMD:C_0603,
C16 C17 C22 C23 C27 C29 C33 C35 ,8,470p,Capacitors_SMD:C_0603,,MC0603N471J500CT,Multicomp,1759080
C28 C34 ,2,10p,Capacitors_SMD:C_0603,
C39 C40 C57 ,3,1u,Capacitors_SMD:C_0603,,MC0603X105K100CT,Multicomp,1759399
C10 C11 C12 C15 C18 C2 C21 C24 C26 C30 C32 C36 C4 C65 C66 C67 C8 ,17,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,1759122
C43 C52 C55 C62 ,4,4u7,Capacitors_SMD:C_0805,,GRM21BR61E475KA12L,Murata,1735529
C44 C45 C53 C54 C56 C63 C64 ,7,10u,Capacitors_SMD:C_0805,,GRM21BR61A106KE19L,Murata,1828805
C13 C19 C25 C31 C46 C47 C48 C49 C5 C50 C51 C58 C59 C6 C60 C61 ,16,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
C1 C3 C37 C38 C41 C42 C7 C9 ,8,4u7/25V,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,,TR3B475K025C0700,Vishay,2353145
JP1 ,1,UNI_A,jakub:solder_jumper,
JP2 ,1,UNI_B,jakub:solder_jumper,
JP3 ,1,x2_0,jakub:solder_jumper,
JP4 ,1,x2_1,jakub:solder_jumper,
JP5 ,1,x2_2,jakub:solder_jumper,
JP6 ,1,x2_3,jakub:solder_jumper,
P1 ,1,2x4_MicroMaTch,jakub:7-188275-8,,7-188275-8,TE Connectivity,3784733
P2 ,1,2x4_HEADER,Pin_Headers:Pin_Header_Straight_2x04,,61300421121,Wurth Elektronik,2356130
P3 P4 P5 P6 ,4,SMA,jakub:SMA,,73251-2200,Molex,2293854
P7 ,1,1x2_HEADER,Pin_Headers:Pin_Header_Straight_1x02,,M20-9990245,Harwin,1022245
P8 ,1,1x2_SOCKET,Socket_Strips:Socket_Strip_Straight_1x02,,SSA-102-S-G,Samtec,1668221
R12 R19 ,2,165k,Resistors_SMD:R_0805,,MCMR08X1653FTL,Multicomp,2073657
R10 R11 R13 R15 R17 R18 R20 R22 ,8,12k,Resistors_SMD:R_0805,,MCWR08X1202FTL,Multicomp,2447563
R14 R21 ,2,48k7,Resistors_SMD:R_0805,,MC01W0805148K7,Multicomp,2141883
R16 ,1,48.7k,Resistors_SMD:R_0805,,MC01W0805148K7,Multicomp,2141883
R1 R2 R3 R4 R5 ,5,10k,Resistors_SMD:R_0805,,MCMR08X1002FTL,Multicomp,2073607
R23 R24 ,2,49R9/0.1%/250mW,Resistors_SMD:R_0805,,RP73PF2A49R9BTDF,TE Connectivity,2117023
R6 R7 R8 R9 ,4,1k/0.01%/100mW,Resistors_SMD:R_0805,,MCTF0805TTX1001,Multicomp,2112790
S1 S2 ,2,shield_can,jakub:can-MS323-20,,MS323-20,Masach,826-6788 (RS Components)
U1 ,1,DAC8734,Housings_QFP:TQFP-48_7x7mm_Pitch0.5mm,,DAC8734SPFB,Texas Instruments,2082437
U11 ,1,LM3880,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-6,,LM3880MF-1AB,Texas Instruments,1271399
U12 U13 ,2,TPS7A3001,jakub:SSOP8_powerPAD,,TPS7A3001DGNT,Texas Instruments,1855138
U14 ,1,74AHC1G14,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,,SN74AHC1G14DCKR,Texas Instruments,1287468
U15 ,1,Si8651,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,,SI8651EC-B-IS1,Silicon Labs,2423323
U2 U3 ,2,OPA211,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,,OPA211AIDGKT,Texas Instruments,2323341
U4 U5 ,2,AD8021,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,AD8021ARZ,Analog Devices,9426000
U6 ,1,REF5040,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,,REF5040AIDGKT,Texas Instruments,2323788
U7 ,1,REF5050,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,,REF5050AIDGKT,Texas Instruments,2323802
U10 U8 U9 ,3,TPS7A4901,jakub:SSOP8_powerPAD,,TPS7A4901DGNT,Texas Instruments,1841881
